long,latt,location
0.45237,52.07524,"0.45237,52.07524"
0.18877,52.06251,"0.18877,52.06251"
-0.07494,52.22157,"-0.07494,52.22157"
0.03746,52.23123,"0.03746,52.23123"
-0.01729,52.21885,"-0.01729,52.21885"
0.71049,52.24292,"0.71049,52.24292"
0.71596,52.25039,"0.71596,52.25039"
0.71596,52.25039,"0.71596,52.25039"
0.1368,52.2069,"0.1368,52.2069"
0.11883,52.22755,"0.11883,52.22755"
0.13348,52.20887,"0.13348,52.20887"
0.1058,52.15952,"0.1058,52.15952"
0.1058,52.15952,"0.1058,52.15952"
0.32813,52.27693,"0.32813,52.27693"
-0.03062,52.07812,"-0.03062,52.07812"
0.21608,52.1808,"0.21608,52.1808"
0.42353,52.08867,"0.42353,52.08867"
0.724,52.41504,"0.724,52.41504"
0.724,52.41504,"0.724,52.41504"
0.32496,52.27672,"0.32496,52.27672"
0.75204,52.41599,"0.75204,52.41599"
0.8066,52.33461,"0.8066,52.33461"
0.1732,52.38124,"0.1732,52.38124"
0.53502,52.33741,"0.53502,52.33741"
0.43621,52.09078,"0.43621,52.09078"
-0.08806,52.18394,"-0.08806,52.18394"
1.03771,52.45031,"1.03771,52.45031"
0.77693,52.15684,"0.77693,52.15684"
0.70716,52.24541,"0.70716,52.24541"
0.57623,52.35347,"0.57623,52.35347"
0.80144,52.25288,"0.80144,52.25288"
0.80144,52.25288,"0.80144,52.25288"
0.12672,52.21454,"0.12672,52.21454"
0.08847,52.23335,"0.08847,52.23335"
0.69238,52.24283,"0.69238,52.24283"
0.18009,52.26655,"0.18009,52.26655"
0.17826,52.1851,"0.17826,52.1851"
0.41,52.24602,"0.41,52.24602"
0.1733,52.2893,"0.1733,52.2893"
-1.19718,52.9969,"-1.19718,52.9969"
0.1368,52.19574,"0.1368,52.19574"
0.1293,52.21816,"0.1293,52.21816"
0.3405,52.29834,"0.3405,52.29834"
0.01665,52.07966,"0.01665,52.07966"
0.24639,52.02734,"0.24639,52.02734"
0.83356,52.29709,"0.83356,52.29709"
-0.03845,52.05699,"-0.03845,52.05699"
0.01579,52.31298,"0.01579,52.31298"
0.99981,52.43419,"0.99981,52.43419"
0.18877,52.06251,"0.18877,52.06251"
0.15196,52.22349,"0.15196,52.22349"
0.38673,52.23573,"0.38673,52.23573"
0.08763,52.21815,"0.08763,52.21815"
-0.06337,52.21359,"-0.06337,52.21359"
0.44616,52.04502,"0.44616,52.04502"
0.15765,52.19743,"0.15765,52.19743"
0.28759,52.37851,"0.28759,52.37851"
0.53416,52.33846,"0.53416,52.33846"
0.53416,52.33846,"0.53416,52.33846"
0.30282,52.18421,"0.30282,52.18421"
0.76507,52.42193,"0.76507,52.42193"
0.87628,52.44482,"0.87628,52.44482"
0.71531,52.25417,"0.71531,52.25417"
0.2167,52.18152,"0.2167,52.18152"
0.51794,52.42205,"0.51794,52.42205"
0.9433,52.43813,"0.9433,52.43813"
0.08056,52.21411,"0.08056,52.21411"
0.90309,52.22363,"0.90309,52.22363"
-0.01741,52.04898,"-0.01741,52.04898"
0.09514,52.25315,"0.09514,52.25315"
0.34808,52.32573,"0.34808,52.32573"
0.43241,52.08881,"0.43241,52.08881"
0.70541,52.23771,"0.70541,52.23771"
0.45425,52.07398,"0.45425,52.07398"
1.10412,52.37366,"1.10412,52.37366"
0.12495,52.1411,"0.12495,52.1411"
0.34519,52.06607,"0.34519,52.06607"
0.74053,52.38203,"0.74053,52.38203"
0.11836,52.21766,"0.11836,52.21766"
0.35871,52.31849,"0.35871,52.31849"
-0.05143,52.2191,"-0.05143,52.2191"
1.11004,52.37351,"1.11004,52.37351"
0.12111,52.21402,"0.12111,52.21402"
0.73416,52.42696,"0.73416,52.42696"
0.82538,52.39891,"0.82538,52.39891"
0.71189,52.24137,"0.71189,52.24137"
0.28573,52.46403,"0.28573,52.46403"
0.16461,52.12431,"0.16461,52.12431"
0.48508,52.33462,"0.48508,52.33462"
0.14427,52.23263,"0.14427,52.23263"
0.72486,52.42435,"0.72486,52.42435"
0.72486,52.42435,"0.72486,52.42435"
0.89538,52.22974,"0.89538,52.22974"
1.0591,52.35532,"1.0591,52.35532"
1.0591,52.35532,"1.0591,52.35532"
0.24531,52.02178,"0.24531,52.02178"
0.16739,52.00024,"0.16739,52.00024"
0.29394,52.40886,"0.29394,52.40886"
0.45307,52.0475,"0.45307,52.0475"
0.17409,52.18967,"0.17409,52.18967"
0.36412,52.24939,"0.36412,52.24939"
0.07582,52.23151,"0.07582,52.23151"
1.11077,52.37199,"1.11077,52.37199"
-0.07328,52.25512,"-0.07328,52.25512"
0.72491,52.24629,"0.72491,52.24629"
0.74897,52.42054,"0.74897,52.42054"
0.91814,52.21555,"0.91814,52.21555"
0.14607,52.17969,"0.14607,52.17969"
0.48359,52.22943,"0.48359,52.22943"
0.44765,52.08178,"0.44765,52.08178"
0.10765,51.99123,"0.10765,51.99123"
0.12182,52.20534,"0.12182,52.20534"
0.14355,52.21133,"0.14355,52.21133"
0.14355,52.21133,"0.14355,52.21133"
0.29152,52.09554,"0.29152,52.09554"
0.08137,52.2408,"0.08137,52.2408"
0.08137,52.2408,"0.08137,52.2408"
0.94447,52.3987,"0.94447,52.3987"
0.38124,52.06521,"0.38124,52.06521"
0.48469,52.09041,"0.48469,52.09041"
0.12115,52.28328,"0.12115,52.28328"
0.1213,52.28331,"0.1213,52.28331"
0.18877,52.06251,"0.18877,52.06251"
0.10764,52.16783,"0.10764,52.16783"
0.11807,52.17526,"0.11807,52.17526"
0.62443,52.44977,"0.62443,52.44977"
-0.07626,52.07148,"-0.07626,52.07148"
0.29603,52.17944,"0.29603,52.17944"
1.1062,52.4282,"1.1062,52.4282"
0.60715,52.18257,"0.60715,52.18257"
0.13671,52.19165,"0.13671,52.19165"
0.70789,52.24356,"0.70789,52.24356"
0.13877,52.20766,"0.13877,52.20766"
0.9409,52.30076,"0.9409,52.30076"
0.16085,52.18812,"0.16085,52.18812"
0.15944,52.248,"0.15944,52.248"
0.77031,52.27071,"0.77031,52.27071"
0.69353,52.26169,"0.69353,52.26169"
0.24413,51.95929,"0.24413,51.95929"
0.24682,51.95798,"0.24682,51.95798"
-0.01624,52.05544,"-0.01624,52.05544"
0.72755,52.41462,"0.72755,52.41462"
0.17044,52.38488,"0.17044,52.38488"
0.28448,52.23803,"0.28448,52.23803"
0.36693,51.9908,"0.36693,51.9908"
0.39873,52.23918,"0.39873,52.23918"
0.40403,52.24323,"0.40403,52.24323"
0.93563,52.43832,"0.93563,52.43832"
0.49752,52.37303,"0.49752,52.37303"
0.14618,52.18748,"0.14618,52.18748"
0.7093,52.25594,"0.7093,52.25594"
0.71838,52.24233,"0.71838,52.24233"
0.00377,52.30481,"0.00377,52.30481"
0.46172,52.274,"0.46172,52.274"
0.13905,52.18758,"0.13905,52.18758"
0.18448,52.1602,"0.18448,52.1602"
0.12065,52.38849,"0.12065,52.38849"
0.49547,52.30151,"0.49547,52.30151"
0.76366,52.42286,"0.76366,52.42286"
0.76366,52.42286,"0.76366,52.42286"
0.6984,52.24539,"0.6984,52.24539"
0.47298,52.29128,"0.47298,52.29128"
0.21115,52.21297,"0.21115,52.21297"
0.21226,52.1332,"0.21226,52.1332"
0.75312,52.20635,"0.75312,52.20635"
