,Incident Number,long,latt,PC Sector
485,26783605,-0.09468,50.99279,RH16 4
486,26783799,-0.31773,53.75679,HU8 8
487,26783917,-1.14188,53.51201999999999,DN4 0
488,26784200,-2.94794,54.92585,CA3 0
489,26784208,-3.83879,56.09094,FK7 7
490,26784606,-2.85615,56.00805,EH32 0
491,26784644,-3.42389,53.33761,LL19 7
492,26784772,-2.46651,50.617979999999996,DT4 0
493,26785252,-1.33986,53.09615,DE55 3
494,26785268,-2.69104,53.631519999999995,PR7 5
495,26785428,-0.16774,51.107690000000005,RH10 6
496,26785480,-1.20285,50.59667,PO38 1
497,26785754,-1.38285,51.00131,SO53 5
498,26785960,-1.59325,52.19461,CV35 9
499,26786172,-1.41205,53.3878,S9 5
500,26786569,1.22991,52.64219,NR5 0
501,26786710,-0.04131,51.480290000000004,SE14 6
502,26786908,-3.99463,51.79827,SA18 2
503,26786938,-0.19137,51.908970000000004,SG1 5
504,26787000,1.13712,52.06723,IP1 4
505,26787016,-2.57413,53.47776999999999,WA3 2
506,26787265,-2.16011,52.5816,WV3 9
507,26787388,-3.19781,51.52362,CF14 5
508,26787535,-1.24456,53.0794,NG17 9
509,26788009,-2.22956,51.30757,BA14 0
510,26788163,-3.75385,55.984609999999996,FK2 9
511,26788226,-0.0742,51.7929,SG13 8
512,26788526,-2.96876,53.336380000000005,CH62 3
513,26788808,-,,N/A
514,26788918,-0.96986,54.58283,TS12 1
515,26789504,-0.44893,51.722770000000004,HP3 8
516,26789578,-1.3452,53.72546,WF10 4
517,26789740,-1.655,53.83821999999999,LS18 5
518,26789785,-1.54543,52.29245,CV32 5
519,26789805,-4.42396,55.84194,PA1 1
520,26789876,-2.21892,53.162859999999995,CW12 4
521,26790668,-1.18586,53.32402,S80 3
522,26790969,-1.7602,53.80842,BD8 7
523,26791367,-2.16707,53.04213000000001,ST1 6
524,26791835,-0.04738,51.304109999999994,CR6 9
525,26791976,-1.98087,52.45966,B32 2
526,26792086,-0.64201,51.52065,SL1 6
